Gene stable ID,Transcript stable ID,Gene description,Gene name,Transcript name
ENSMUSG00000064336,ENSMUST00000082387,mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487],mt-Tf,mt-Tf-201
ENSMUSG00000064337,ENSMUST00000082388,mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493],mt-Rnr1,mt-Rnr1-201
ENSMUSG00000064338,ENSMUST00000082389,mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472],mt-Tv,mt-Tv-201
ENSMUSG00000064339,ENSMUST00000082390,mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492],mt-Rnr2,mt-Rnr2-201
ENSMUSG00000064340,ENSMUST00000082391,mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482],mt-Tl1,mt-Tl1-201
ENSMUSG00000064341,ENSMUST00000082392,mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787],mt-Nd1,mt-Nd1-201
ENSMUSG00000064342,ENSMUST00000082393,mitochondrially encoded tRNA isoleucine [Source:MGI Symbol;Acc:MGI:102484],mt-Ti,mt-Ti-201
ENSMUSG00000064343,ENSMUST00000082394,mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477],mt-Tq,mt-Tq-201
ENSMUSG00000064344,ENSMUST00000082395,mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480],mt-Tm,mt-Tm-201
ENSMUSG00000064345,ENSMUST00000082396,mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500],mt-Nd2,mt-Nd2-201
ENSMUSG00000064346,ENSMUST00000082397,mitochondrially encoded tRNA tryptophan [Source:MGI Symbol;Acc:MGI:102471],mt-Tw,mt-Tw-201
ENSMUSG00000064347,ENSMUST00000082398,mitochondrially encoded tRNA alanine [Source:MGI Symbol;Acc:MGI:102491],mt-Ta,mt-Ta-201
ENSMUSG00000064348,ENSMUST00000082399,mitochondrially encoded tRNA asparagine [Source:MGI Symbol;Acc:MGI:102479],mt-Tn,mt-Tn-201
ENSMUSG00000064349,ENSMUST00000082400,mitochondrially encoded tRNA cysteine [Source:MGI Symbol;Acc:MGI:102490],mt-Tc,mt-Tc-201
ENSMUSG00000064350,ENSMUST00000082401,mitochondrially encoded tRNA tyrosine [Source:MGI Symbol;Acc:MGI:102470],mt-Ty,mt-Ty-201
ENSMUSG00000064351,ENSMUST00000082402,mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504],mt-Co1,mt-Co1-201
ENSMUSG00000064352,ENSMUST00000082403,mitochondrially encoded tRNA serine 1 [Source:MGI Symbol;Acc:MGI:102475],mt-Ts1,mt-Ts1-201
ENSMUSG00000064353,ENSMUST00000082404,mitochondrially encoded tRNA aspartic acid [Source:MGI Symbol;Acc:MGI:102489],mt-Td,mt-Td-201
ENSMUSG00000064354,ENSMUST00000082405,mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503],mt-Co2,mt-Co2-201
ENSMUSG00000064355,ENSMUST00000082406,mitochondrially encoded tRNA lysine [Source:MGI Symbol;Acc:MGI:102483],mt-Tk,mt-Tk-201
ENSMUSG00000064356,ENSMUST00000082407,mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926],mt-Atp8,mt-Atp8-201
ENSMUSG00000064357,ENSMUST00000082408,mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927],mt-Atp6,mt-Atp6-201
ENSMUSG00000064358,ENSMUST00000082409,mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502],mt-Co3,mt-Co3-201
ENSMUSG00000064359,ENSMUST00000082410,mitochondrially encoded tRNA glycine [Source:MGI Symbol;Acc:MGI:102486],mt-Tg,mt-Tg-201
ENSMUSG00000064360,ENSMUST00000082411,mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499],mt-Nd3,mt-Nd3-201
ENSMUSG00000064361,ENSMUST00000082412,mitochondrially encoded tRNA arginine [Source:MGI Symbol;Acc:MGI:102476],mt-Tr,mt-Tr-201
ENSMUSG00000065947,ENSMUST00000084013,mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497],mt-Nd4l,mt-Nd4l-201
ENSMUSG00000064363,ENSMUST00000082414,mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498],mt-Nd4,mt-Nd4-201
ENSMUSG00000064364,ENSMUST00000082415,mitochondrially encoded tRNA histidine [Source:MGI Symbol;Acc:MGI:102485],mt-Th,mt-Th-201
ENSMUSG00000064365,ENSMUST00000082416,mitochondrially encoded tRNA serine 2 [Source:MGI Symbol;Acc:MGI:102474],mt-Ts2,mt-Ts2-201
ENSMUSG00000064366,ENSMUST00000082417,mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481],mt-Tl2,mt-Tl2-201
ENSMUSG00000064367,ENSMUST00000082418,mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496],mt-Nd5,mt-Nd5-201
ENSMUSG00000064368,ENSMUST00000082419,mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495],mt-Nd6,mt-Nd6-201
ENSMUSG00000064369,ENSMUST00000082420,mitochondrially encoded tRNA glutamic acid [Source:MGI Symbol;Acc:MGI:102488],mt-Te,mt-Te-201
ENSMUSG00000064370,ENSMUST00000082421,mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501],mt-Cytb,mt-Cytb-201
ENSMUSG00000064371,ENSMUST00000082422,mitochondrially encoded tRNA threonine [Source:MGI Symbol;Acc:MGI:102473],mt-Tt,mt-Tt-201
ENSMUSG00000064372,ENSMUST00000082423,mitochondrially encoded tRNA proline [Source:MGI Symbol;Acc:MGI:102478],mt-Tp,mt-Tp-201
ENSMUSG00002074970,ENSMUST00020182238,,,
ENSMUSG00002075400,ENSMUST00020181715,,,
ENSMUSG00002076890,ENSMUST00020183073,,,
ENSMUSG00000095019,ENSMUST00000178569,,,
ENSMUSG00000094915,ENSMUST00000179715,,,
ENSMUSG00000095041,ENSMUST00000179505,,,
ENSMUSG00000095041,ENSMUST00000178343,,,
ENSMUSG00000095666,ENSMUST00000178466,,,
ENSMUSG00000094741,ENSMUST00000178291,PRAME like 39 [Source:NCBI gene (formerly Entrezgene);Acc:331195],Pramel39,Pramel39-203
ENSMUSG00000095742,ENSMUST00000179436,,,
ENSMUSG00000094303,ENSMUST00000110576,,,
ENSMUSG00000079222,ENSMUST00000111423,,,
ENSMUSG00000095250,ENSMUST00000179211,,,
ENSMUSG00000094836,ENSMUST00000097490,,,
ENSMUSG00002075729,ENSMUST00020182428,,,
ENSMUSG00000079808,ENSMUST00000115924,,,
ENSMUSG00000074720,ENSMUST00000099245,,,
ENSMUSG00000095787,ENSMUST00000179124,,,
ENSMUSG00000096236,ENSMUST00000177853,,,
ENSMUSG00000096100,ENSMUST00000179890,,,
ENSMUSG00000096680,ENSMUST00000177991,,,
ENSMUSG00000094874,ENSMUST00000178199,,,
ENSMUSG00000094337,ENSMUST00000179140,,,
ENSMUSG00000094337,ENSMUST00000164489,,,
ENSMUSG00000094383,ENSMUST00000168953,,,
ENSMUSG00000096756,ENSMUST00000177719,,,
ENSMUSG00000094054,ENSMUST00000179487,,,
ENSMUSG00000095672,ENSMUST00000178603,,,
ENSMUSG00000095500,ENSMUST00000178309,,,
ENSMUSG00000095505,ENSMUST00000178335,expressed sequence AA792892 [Source:NCBI gene (formerly Entrezgene);Acc:100554],AA792892,AA792892-204
ENSMUSG00000079190,ENSMUST00000111360,,,
ENSMUSG00000095450,ENSMUST00000179292,,,
ENSMUSG00000094474,ENSMUST00000177582,,,
ENSMUSG00000095570,ENSMUST00000179972,,,
ENSMUSG00000094728,ENSMUST00000180119,,,
ENSMUSG00000094514,ENSMUST00000178645,,,
ENSMUSG00000062783,ENSMUST00000078827,component of Sp100-rs [Source:NCBI gene (formerly Entrezgene);Acc:114564],Csprs,Csprs-201
ENSMUSG00000094791,ENSMUST00000179677,,,
ENSMUSG00000096728,ENSMUST00000178296,,,
ENSMUSG00000096550,ENSMUST00000178337,predicted gene 16367 [Source:NCBI gene (formerly Entrezgene);Acc:545762],Gm16367,Gm16367-201
ENSMUSG00000096808,ENSMUST00000177921,,,
ENSMUSG00000094172,ENSMUST00000177843,,,
ENSMUSG00000094887,ENSMUST00000179700,,,
ENSMUSG00000091585,ENSMUST00000165454,,,
ENSMUSG00000095763,ENSMUST00000178318,,,
ENSMUSG00000095523,ENSMUST00000180303,,,
ENSMUSG00000095475,ENSMUST00000180208,,,
ENSMUSG00000094855,ENSMUST00000178327,,,
ENSMUSG00000094722,ENSMUST00000180291,,,
ENSMUSG00000095728,ENSMUST00000179146,,,
ENSMUSG00000095076,ENSMUST00000177668,,,
ENSMUSG00000079800,ENSMUST00000096862,,,
ENSMUSG00000095092,ENSMUST00000177562,,,
ENSMUSG00000079192,ENSMUST00000111364,,,
ENSMUSG00000079794,ENSMUST00000115931,,,
ENSMUSG00000094799,ENSMUST00000115928,,,
ENSMUSG00002074899,ENSMUST00020181793,,,
ENSMUSG00000096776,ENSMUST00000177783,vomeronasal 1 receptor Vmn1r186 [Source:NCBI gene (formerly Entrezgene);Acc:100039479],Vmn1r186,Vmn1r186-201
ENSMUSG00000096244,ENSMUST00000177979,vomeronasal 1 receptor Vmn1r187 [Source:NCBI gene (formerly Entrezgene);Acc:100039499],,
ENSMUSG00000100384,ENSMUST00000186655,predicted gene 28489 [Source:MGI Symbol;Acc:MGI:5579195],Gm28489,Gm28489-201
ENSMUSG00000100216,ENSMUST00000189917,"predicted gene, 21867 [Source:MGI Symbol;Acc:MGI:5434031]",Gm21867,Gm21867-201
ENSMUSG00000099641,ENSMUST00000186675,predicted gene 29448 [Source:MGI Symbol;Acc:MGI:5580154],Gm29448,Gm29448-201
ENSMUSG00000100271,ENSMUST00000186909,"predicted gene, 21127 [Source:MGI Symbol;Acc:MGI:5434482]",Gm21127,Gm21127-201
ENSMUSG00000095634,ENSMUST00000187846,"predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]",Gm20816,Gm20816-202
ENSMUSG00000095634,ENSMUST00000177765,"predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]",Gm20816,Gm20816-201
ENSMUSG00000101393,ENSMUST00000186407,predicted gene 29447 [Source:MGI Symbol;Acc:MGI:5580153],Gm29447,Gm29447-201
ENSMUSG00000101393,ENSMUST00000186590,predicted gene 29447 [Source:MGI Symbol;Acc:MGI:5580153],Gm29447,Gm29447-202
ENSMUSG00000100885,ENSMUST00000190887,predicted gene 29446 [Source:MGI Symbol;Acc:MGI:5580152],Gm29446,Gm29446-201
ENSMUSG00000101120,ENSMUST00000187996,predicted gene 29452 [Source:MGI Symbol;Acc:MGI:5580158],Gm29452,Gm29452-201
ENSMUSG00000101216,ENSMUST00000188862,predicted gene 29451 [Source:MGI Symbol;Acc:MGI:5580157],Gm29451,Gm29451-201
ENSMUSG00000100032,ENSMUST00000191123,"predicted gene, 20817 [Source:MGI Symbol;Acc:MGI:5434173]",Gm20817,Gm20817-201
ENSMUSG00000101080,ENSMUST00000190867,predicted gene 28633 [Source:MGI Symbol;Acc:MGI:5579339],Gm28633,Gm28633-202
ENSMUSG00000101080,ENSMUST00000187906,predicted gene 28633 [Source:MGI Symbol;Acc:MGI:5579339],Gm28633,Gm28633-201
ENSMUSG00000094444,ENSMUST00000190314,"predicted gene, 21562 [Source:MGI Symbol;Acc:MGI:5434917]",Gm21562,Gm21562-202
ENSMUSG00000094444,ENSMUST00000177888,"predicted gene, 21562 [Source:MGI Symbol;Acc:MGI:5434917]",Gm21562,Gm21562-201
ENSMUSG00000100308,ENSMUST00000188383,predicted gene 29410 [Source:MGI Symbol;Acc:MGI:5580116],Gm29410,Gm29410-201
ENSMUSG00000101423,ENSMUST00000190443,predicted gene 28298 [Source:MGI Symbol;Acc:MGI:5579004],Gm28298,Gm28298-202
ENSMUSG00000101423,ENSMUST00000185287,predicted gene 28298 [Source:MGI Symbol;Acc:MGI:5579004],Gm28298,Gm28298-201
ENSMUSG00000095626,ENSMUST00000186850,"predicted gene, 21572 [Source:MGI Symbol;Acc:MGI:5434927]",Gm21572,Gm21572-202
ENSMUSG00000095626,ENSMUST00000180134,"predicted gene, 21572 [Source:MGI Symbol;Acc:MGI:5434927]",Gm21572,Gm21572-201
ENSMUSG00000101761,ENSMUST00000190933,predicted gene 28297 [Source:MGI Symbol;Acc:MGI:5579003],Gm28297,Gm28297-202
ENSMUSG00000101761,ENSMUST00000186679,predicted gene 28297 [Source:MGI Symbol;Acc:MGI:5579003],Gm28297,Gm28297-201
ENSMUSG00000099493,ENSMUST00000187240,"predicted gene, 21753 [Source:MGI Symbol;Acc:MGI:5433917]",Gm21753,Gm21753-201
ENSMUSG00000096777,ENSMUST00000189444,"predicted gene, 21723 [Source:MGI Symbol;Acc:MGI:5433887]",Gm21723,Gm21723-202
ENSMUSG00000096777,ENSMUST00000178692,"predicted gene, 21723 [Source:MGI Symbol;Acc:MGI:5433887]",Gm21723,Gm21723-201
ENSMUSG00000102119,ENSMUST00000188058,predicted gene 28462 [Source:MGI Symbol;Acc:MGI:5579168],Gm28462,Gm28462-202
ENSMUSG00000102119,ENSMUST00000185217,predicted gene 28462 [Source:MGI Symbol;Acc:MGI:5579168],Gm28462,Gm28462-201
ENSMUSG00000101147,ENSMUST00000190372,"predicted gene, 20818 [Source:MGI Symbol;Acc:MGI:5434174]",Gm20818,Gm20818-201
ENSMUSG00000100739,ENSMUST00000186151,predicted gene 28296 [Source:MGI Symbol;Acc:MGI:5579002],Gm28296,Gm28296-202
ENSMUSG00000100739,ENSMUST00000185585,predicted gene 28296 [Source:MGI Symbol;Acc:MGI:5579002],Gm28296,Gm28296-201
ENSMUSG00000095345,ENSMUST00000187288,"predicted gene, 21821 [Source:MGI Symbol;Acc:MGI:5433985]",Gm21821,Gm21821-202
ENSMUSG00000095345,ENSMUST00000179646,"predicted gene, 21821 [Source:MGI Symbol;Acc:MGI:5433985]",Gm21821,Gm21821-201
ENSMUSG00000100709,ENSMUST00000188322,predicted gene 28295 [Source:MGI Symbol;Acc:MGI:5579001],Gm28295,Gm28295-201
ENSMUSG00000100709,ENSMUST00000190203,predicted gene 28295 [Source:MGI Symbol;Acc:MGI:5579001],Gm28295,Gm28295-202
ENSMUSG00000095968,ENSMUST00000185311,"predicted gene, 21842 [Source:MGI Symbol;Acc:MGI:5434006]",Gm21842,Gm21842-202
ENSMUSG00000095968,ENSMUST00000177552,"predicted gene, 21842 [Source:MGI Symbol;Acc:MGI:5434006]",Gm21842,Gm21842-201
ENSMUSG00000101779,ENSMUST00000186892,predicted gene 28170 [Source:MGI Symbol;Acc:MGI:5578876],Gm28170,Gm28170-201
ENSMUSG00000101779,ENSMUST00000187851,predicted gene 28170 [Source:MGI Symbol;Acc:MGI:5578876],Gm28170,Gm28170-202
ENSMUSG00000094529,ENSMUST00000178403,"predicted gene, 21744 [Source:MGI Symbol;Acc:MGI:5433908]",Gm21744,Gm21744-201
ENSMUSG00000101745,ENSMUST00000191194,predicted gene 28764 [Source:MGI Symbol;Acc:MGI:5579470],Gm28764,Gm28764-203
ENSMUSG00000101745,ENSMUST00000187813,predicted gene 28764 [Source:MGI Symbol;Acc:MGI:5579470],Gm28764,Gm28764-201
ENSMUSG00000101745,ENSMUST00000188462,predicted gene 28764 [Source:MGI Symbol;Acc:MGI:5579470],Gm28764,Gm28764-202
ENSMUSG00000101254,ENSMUST00000189115,"predicted gene, 20932 [Source:MGI Symbol;Acc:MGI:5434288]",Gm20932,Gm20932-201
ENSMUSG00000100957,ENSMUST00000191259,predicted gene 28762 [Source:MGI Symbol;Acc:MGI:5579468],Gm28762,Gm28762-203
ENSMUSG00000100957,ENSMUST00000185669,predicted gene 28762 [Source:MGI Symbol;Acc:MGI:5579468],Gm28762,Gm28762-201
ENSMUSG00000100957,ENSMUST00000188315,predicted gene 28762 [Source:MGI Symbol;Acc:MGI:5579468],Gm28762,Gm28762-202
ENSMUSG00000100976,ENSMUST00000186579,predicted gene 29134 [Source:MGI Symbol;Acc:MGI:5579840],Gm29134,Gm29134-201
ENSMUSG00000099756,ENSMUST00000188870,predicted gene 28763 [Source:MGI Symbol;Acc:MGI:5579469],Gm28763,Gm28763-201
ENSMUSG00000100489,ENSMUST00000185642,predicted gene 28303 [Source:MGI Symbol;Acc:MGI:5579009],Gm28303,Gm28303-201
ENSMUSG00000101239,ENSMUST00000185977,predicted gene 28304 [Source:MGI Symbol;Acc:MGI:5579010],Gm28304,Gm28304-201
ENSMUSG00000100971,ENSMUST00000187496,predicted gene 28824 [Source:MGI Symbol;Acc:MGI:5579530],Gm28824,Gm28824-201
ENSMUSG00000099555,ENSMUST00000185321,predicted gene 28081 [Source:MGI Symbol;Acc:MGI:5578787],Gm28081,Gm28081-201
ENSMUSG00000099555,ENSMUST00000186461,predicted gene 28081 [Source:MGI Symbol;Acc:MGI:5578787],Gm28081,Gm28081-202
ENSMUSG00000101369,ENSMUST00000188552,predicted gene 28080 [Source:MGI Symbol;Acc:MGI:5578786],Gm28080,Gm28080-201
ENSMUSG00000101096,ENSMUST00000190499,"predicted gene, 21524 [Source:MGI Symbol;Acc:MGI:5434879]",Gm21524,Gm21524-201
ENSMUSG00000095263,ENSMUST00000189577,"predicted gene, 21094 [Source:MGI Symbol;Acc:MGI:5434449]",Gm21094,Gm21094-202
ENSMUSG00000095263,ENSMUST00000177842,"predicted gene, 21094 [Source:MGI Symbol;Acc:MGI:5434449]",Gm21094,Gm21094-201
ENSMUSG00000096272,ENSMUST00000188721,"predicted gene, 21588 [Source:MGI Symbol;Acc:MGI:5434943]",Gm21588,Gm21588-202
ENSMUSG00000096272,ENSMUST00000180074,"predicted gene, 21588 [Source:MGI Symbol;Acc:MGI:5434943]",Gm21588,Gm21588-201
ENSMUSG00000099426,ENSMUST00000186540,predicted gene 28761 [Source:MGI Symbol;Acc:MGI:5579467],Gm28761,Gm28761-201
ENSMUSG00000099426,ENSMUST00000187767,predicted gene 28761 [Source:MGI Symbol;Acc:MGI:5579467],Gm28761,Gm28761-202
ENSMUSG00000096711,ENSMUST00000187381,"predicted gene, 21599 [Source:MGI Symbol;Acc:MGI:5434954]",Gm21599,Gm21599-202
ENSMUSG00000096711,ENSMUST00000178249,"predicted gene, 21599 [Source:MGI Symbol;Acc:MGI:5434954]",Gm21599,Gm21599-201
ENSMUSG00000101728,ENSMUST00000189752,predicted gene 28765 [Source:MGI Symbol;Acc:MGI:5579471],Gm28765,Gm28765-201
ENSMUSG00000101728,ENSMUST00000190380,predicted gene 28765 [Source:MGI Symbol;Acc:MGI:5579471],Gm28765,Gm28765-202
ENSMUSG00000100509,ENSMUST00000186188,"predicted gene, 21810 [Source:MGI Symbol;Acc:MGI:5433974]",Gm21810,Gm21810-201
ENSMUSG00000095553,ENSMUST00000187044,"predicted gene, 21916 [Source:MGI Symbol;Acc:MGI:5434080]",Gm21916,Gm21916-202
ENSMUSG00000095553,ENSMUST00000178771,"predicted gene, 21916 [Source:MGI Symbol;Acc:MGI:5434080]",Gm21916,Gm21916-201
ENSMUSG00000099550,ENSMUST00000185688,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-201
ENSMUSG00000099550,ENSMUST00000186763,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-204
ENSMUSG00000099550,ENSMUST00000188634,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-207
ENSMUSG00000099550,ENSMUST00000189328,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-208
ENSMUSG00000099550,ENSMUST00000187271,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-205
ENSMUSG00000099550,ENSMUST00000186184,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-203
ENSMUSG00000099550,ENSMUST00000190418,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-209
ENSMUSG00000099550,ENSMUST00000186006,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-202
ENSMUSG00000099550,ENSMUST00000188554,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-206
ENSMUSG00000099550,ENSMUST00000191151,predicted gene 28079 [Source:MGI Symbol;Acc:MGI:5578785],Gm28079,Gm28079-210
ENSMUSG00000102065,ENSMUST00000187931,predicted gene 28302 [Source:MGI Symbol;Acc:MGI:5579008],Gm28302,Gm28302-201
ENSMUSG00000101099,ENSMUST00000185427,predicted gene 29191 [Source:MGI Symbol;Acc:MGI:5579897],Gm29191,Gm29191-201
ENSMUSG00000101099,ENSMUST00000188742,predicted gene 29191 [Source:MGI Symbol;Acc:MGI:5579897],Gm29191,Gm29191-202
ENSMUSG00000095049,ENSMUST00000178380,"predicted gene, 21756 [Source:MGI Symbol;Acc:MGI:5433920]",Gm21756,Gm21756-201
ENSMUSG00000101601,ENSMUST00000190631,predicted gene 28210 [Source:MGI Symbol;Acc:MGI:5578916],Gm28210,Gm28210-201
ENSMUSG00000101516,ENSMUST00000188026,predicted gene 29074 [Source:MGI Symbol;Acc:MGI:5579780],Gm29074,Gm29074-203
ENSMUSG00000101516,ENSMUST00000185455,predicted gene 29074 [Source:MGI Symbol;Acc:MGI:5579780],Gm29074,Gm29074-201
ENSMUSG00000101516,ENSMUST00000187907,predicted gene 29074 [Source:MGI Symbol;Acc:MGI:5579780],Gm29074,Gm29074-202
ENSMUSG00000101359,ENSMUST00000190920,predicted gene 28211 [Source:MGI Symbol;Acc:MGI:5578917],Gm28211,Gm28211-201
ENSMUSG00000100790,ENSMUST00000188788,predicted gene 28518 [Source:MGI Symbol;Acc:MGI:5579224],Gm28518,Gm28518-203
ENSMUSG00000100790,ENSMUST00000187047,predicted gene 28518 [Source:MGI Symbol;Acc:MGI:5579224],Gm28518,Gm28518-201
ENSMUSG00000100790,ENSMUST00000187840,predicted gene 28518 [Source:MGI Symbol;Acc:MGI:5579224],Gm28518,Gm28518-202
ENSMUSG00000101302,ENSMUST00000190126,predicted gene 28519 [Source:MGI Symbol;Acc:MGI:5579225],Gm28519,Gm28519-203
ENSMUSG00000101302,ENSMUST00000189729,predicted gene 28519 [Source:MGI Symbol;Acc:MGI:5579225],Gm28519,Gm28519-202
ENSMUSG00000101302,ENSMUST00000187457,predicted gene 28519 [Source:MGI Symbol;Acc:MGI:5579225],Gm28519,Gm28519-201
ENSMUSG00000102125,ENSMUST00000189379,predicted gene 28520 [Source:MGI Symbol;Acc:MGI:5579226],Gm28520,Gm28520-202
ENSMUSG00000102125,ENSMUST00000190808,predicted gene 28520 [Source:MGI Symbol;Acc:MGI:5579226],Gm28520,Gm28520-203
ENSMUSG00000102125,ENSMUST00000187225,predicted gene 28520 [Source:MGI Symbol;Acc:MGI:5579226],Gm28520,Gm28520-201
ENSMUSG00000094064,ENSMUST00000189751,"predicted gene, 21626 [Source:MGI Symbol;Acc:MGI:5434981]",Gm21626,Gm21626-202
ENSMUSG00000094064,ENSMUST00000177791,"predicted gene, 21626 [Source:MGI Symbol;Acc:MGI:5434981]",Gm21626,Gm21626-201
ENSMUSG00000101421,ENSMUST00000187085,predicted gene 28433 [Source:MGI Symbol;Acc:MGI:5579139],Gm28433,Gm28433-201
ENSMUSG00000099461,ENSMUST00000190230,predicted gene 28521 [Source:MGI Symbol;Acc:MGI:5579227],Gm28521,Gm28521-202
ENSMUSG00000099461,ENSMUST00000188948,predicted gene 28521 [Source:MGI Symbol;Acc:MGI:5579227],Gm28521,Gm28521-201
ENSMUSG00000101706,ENSMUST00000185592,predicted gene 28431 [Source:MGI Symbol;Acc:MGI:5579137],Gm28431,Gm28431-201
ENSMUSG00000096532,ENSMUST00000186630,"predicted gene, 21633 [Source:MGI Symbol;Acc:MGI:5434988]",Gm21633,Gm21633-202
ENSMUSG00000096532,ENSMUST00000178941,"predicted gene, 21633 [Source:MGI Symbol;Acc:MGI:5434988]",Gm21633,Gm21633-201
ENSMUSG00000101627,ENSMUST00000185237,predicted gene 28432 [Source:MGI Symbol;Acc:MGI:5579138],Gm28432,Gm28432-201
ENSMUSG00000101627,ENSMUST00000189356,predicted gene 28432 [Source:MGI Symbol;Acc:MGI:5579138],Gm28432,Gm28432-202
ENSMUSG00000101852,ENSMUST00000187173,"predicted gene, 20886 [Source:MGI Symbol;Acc:MGI:5434242]",Gm20886,Gm20886-201
ENSMUSG00000101681,ENSMUST00000190561,predicted gene 28522 [Source:MGI Symbol;Acc:MGI:5579228],Gm28522,Gm28522-202
ENSMUSG00000101681,ENSMUST00000185908,predicted gene 28522 [Source:MGI Symbol;Acc:MGI:5579228],Gm28522,Gm28522-201
ENSMUSG00000099438,ENSMUST00000185495,"predicted gene, 21808 [Source:MGI Symbol;Acc:MGI:5433972]",Gm21808,Gm21808-201
ENSMUSG00000101870,ENSMUST00000189513,"predicted gene, 21745 [Source:MGI Symbol;Acc:MGI:5433909]",Gm21745,Gm21745-201
ENSMUSG00000101472,ENSMUST00000190343,predicted gene 28517 [Source:MGI Symbol;Acc:MGI:5579223],Gm28517,Gm28517-201
ENSMUSG00000101407,ENSMUST00000185593,predicted gene 29532 [Source:MGI Symbol;Acc:MGI:5580238],Gm29532,Gm29532-201
ENSMUSG00000101407,ENSMUST00000191113,predicted gene 29532 [Source:MGI Symbol;Acc:MGI:5580238],Gm29532,Gm29532-202
ENSMUSG00000099500,ENSMUST00000190569,predicted gene 29531 [Source:MGI Symbol;Acc:MGI:5580237],Gm29531,Gm29531-201
ENSMUSG00000100097,ENSMUST00000188929,predicted gene 28464 [Source:MGI Symbol;Acc:MGI:5579170],Gm28464,Gm28464-202
ENSMUSG00000100097,ENSMUST00000187726,predicted gene 28464 [Source:MGI Symbol;Acc:MGI:5579170],Gm28464,Gm28464-201
ENSMUSG00000099806,ENSMUST00000191284,predicted gene 28841 [Source:MGI Symbol;Acc:MGI:5579547],Gm28841,Gm28841-201
ENSMUSG00000101474,ENSMUST00000187236,predicted gene 29656 [Source:MGI Symbol;Acc:MGI:5580362],Gm29656,Gm29656-201
ENSMUSG00000099704,ENSMUST00000190289,predicted gene 28842 [Source:MGI Symbol;Acc:MGI:5579548],Gm28842,Gm28842-202
ENSMUSG00000099704,ENSMUST00000186399,predicted gene 28842 [Source:MGI Symbol;Acc:MGI:5579548],Gm28842,Gm28842-201
ENSMUSG00000101383,ENSMUST00000189198,predicted gene 28843 [Source:MGI Symbol;Acc:MGI:5579549],Gm28843,Gm28843-201
ENSMUSG00000099737,ENSMUST00000187728,predicted gene 29655 [Source:MGI Symbol;Acc:MGI:5580361],Gm29655,Gm29655-201
ENSMUSG00000099737,ENSMUST00000190528,predicted gene 29655 [Source:MGI Symbol;Acc:MGI:5580361],Gm29655,Gm29655-202
ENSMUSG00000099914,ENSMUST00000190397,predicted gene 28837 [Source:MGI Symbol;Acc:MGI:5579543],Gm28837,Gm28837-201
ENSMUSG00000101417,ENSMUST00000189755,"predicted gene, 21647 [Source:MGI Symbol;Acc:MGI:5435002]",Gm21647,Gm21647-201
ENSMUSG00000101654,ENSMUST00000187192,predicted gene 29653 [Source:MGI Symbol;Acc:MGI:5580359],Gm29653,Gm29653-201
